Ma Vi Pham,Track ID,Loai Phuong Tien,Frame Ghi Nhan,Thoi Gian,Anh Xe,Anh Vung Bien So,Anh Review,Frame Bien So Tot Nhat,Do Tin Cay Bien So,Do Net Bien So,Diem Bien So
V001,4,Car,0,2026-06-17 14:51:06,C:\Users\Admin\ducmanhjr\main\ducmanh-jrsystem_camera_ai main\runtime\viettraffic\jobs\d8dde8bd3b45\plate_outputs\vehicles\vehicle_V001.png,C:\Users\Admin\ducmanhjr\main\ducmanh-jrsystem_camera_ai main\runtime\viettraffic\jobs\d8dde8bd3b45\plate_outputs\plates_filtered\cropped_plate_track_4_frame_0.png,C:\Users\Admin\ducmanhjr\main\ducmanh-jrsystem_camera_ai main\runtime\viettraffic\jobs\d8dde8bd3b45\plate_outputs\reviews\review_V001.png,0,0.7646,5301.5,0.5609
V002,8,Car,2,2026-06-17 14:51:06,C:\Users\Admin\ducmanhjr\main\ducmanh-jrsystem_camera_ai main\runtime\viettraffic\jobs\d8dde8bd3b45\plate_outputs\vehicles\vehicle_V002.png,C:\Users\Admin\ducmanhjr\main\ducmanh-jrsystem_camera_ai main\runtime\viettraffic\jobs\d8dde8bd3b45\plate_outputs\plates_filtered\cropped_plate_track_8_frame_2.png,C:\Users\Admin\ducmanhjr\main\ducmanh-jrsystem_camera_ai main\runtime\viettraffic\jobs\d8dde8bd3b45\plate_outputs\reviews\review_V002.png,2,0.7588,3756.3,0.5481
V003,3,Car,20,2026-06-17 14:51:06,C:\Users\Admin\ducmanhjr\main\ducmanh-jrsystem_camera_ai main\runtime\viettraffic\jobs\d8dde8bd3b45\plate_outputs\vehicles\vehicle_V003.png,C:\Users\Admin\ducmanhjr\main\ducmanh-jrsystem_camera_ai main\runtime\viettraffic\jobs\d8dde8bd3b45\plate_outputs\plates_filtered\cropped_plate_track_3_frame_20.png,C:\Users\Admin\ducmanhjr\main\ducmanh-jrsystem_camera_ai main\runtime\viettraffic\jobs\d8dde8bd3b45\plate_outputs\reviews\review_V003.png,20,0.7916,5429.0,0.5838
V004,193,Car,76,2026-06-17 14:51:06,C:\Users\Admin\ducmanhjr\main\ducmanh-jrsystem_camera_ai main\runtime\viettraffic\jobs\d8dde8bd3b45\plate_outputs\vehicles\vehicle_V004.png,C:\Users\Admin\ducmanhjr\main\ducmanh-jrsystem_camera_ai main\runtime\viettraffic\jobs\d8dde8bd3b45\plate_outputs\plates_filtered\cropped_plate_track_193_frame_76.png,C:\Users\Admin\ducmanhjr\main\ducmanh-jrsystem_camera_ai main\runtime\viettraffic\jobs\d8dde8bd3b45\plate_outputs\reviews\review_V004.png,76,0.7735,2795.1,0.5263
V005,382,Truck,102,2026-06-17 14:51:06,C:\Users\Admin\ducmanhjr\main\ducmanh-jrsystem_camera_ai main\runtime\viettraffic\jobs\d8dde8bd3b45\plate_outputs\vehicles\vehicle_V005.png,C:\Users\Admin\ducmanhjr\main\ducmanh-jrsystem_camera_ai main\runtime\viettraffic\jobs\d8dde8bd3b45\plate_outputs\plates_filtered\cropped_plate_track_382_frame_102.png,C:\Users\Admin\ducmanhjr\main\ducmanh-jrsystem_camera_ai main\runtime\viettraffic\jobs\d8dde8bd3b45\plate_outputs\reviews\review_V005.png,102,0.7878,4835.9,0.5857
V006,553,Motorcycle,110,2026-06-17 14:51:06,C:\Users\Admin\ducmanhjr\main\ducmanh-jrsystem_camera_ai main\runtime\viettraffic\jobs\d8dde8bd3b45\plate_outputs\vehicles\vehicle_V006.png,C:\Users\Admin\ducmanhjr\main\ducmanh-jrsystem_camera_ai main\runtime\viettraffic\jobs\d8dde8bd3b45\plate_outputs\plates_filtered\cropped_plate_track_553_frame_110.png,C:\Users\Admin\ducmanhjr\main\ducmanh-jrsystem_camera_ai main\runtime\viettraffic\jobs\d8dde8bd3b45\plate_outputs\reviews\review_V006.png,110,0.7986,1828.5,0.5617
V007,456,Car,150,2026-06-17 14:51:06,C:\Users\Admin\ducmanhjr\main\ducmanh-jrsystem_camera_ai main\runtime\viettraffic\jobs\d8dde8bd3b45\plate_outputs\vehicles\vehicle_V007.png,C:\Users\Admin\ducmanhjr\main\ducmanh-jrsystem_camera_ai main\runtime\viettraffic\jobs\d8dde8bd3b45\plate_outputs\plates_filtered\cropped_plate_track_456_frame_150.png,C:\Users\Admin\ducmanhjr\main\ducmanh-jrsystem_camera_ai main\runtime\viettraffic\jobs\d8dde8bd3b45\plate_outputs\reviews\review_V007.png,150,0.7979,4896.0,0.6253
V008,728,Car,198,2026-06-17 14:51:06,C:\Users\Admin\ducmanhjr\main\ducmanh-jrsystem_camera_ai main\runtime\viettraffic\jobs\d8dde8bd3b45\plate_outputs\vehicles\vehicle_V008.png,C:\Users\Admin\ducmanhjr\main\ducmanh-jrsystem_camera_ai main\runtime\viettraffic\jobs\d8dde8bd3b45\plate_outputs\plates_filtered\cropped_plate_track_728_frame_198.png,C:\Users\Admin\ducmanhjr\main\ducmanh-jrsystem_camera_ai main\runtime\viettraffic\jobs\d8dde8bd3b45\plate_outputs\reviews\review_V008.png,198,0.7477,3709.3,0.5293
V009,874,Motorcycle,228,2026-06-17 14:51:06,C:\Users\Admin\ducmanhjr\main\ducmanh-jrsystem_camera_ai main\runtime\viettraffic\jobs\d8dde8bd3b45\plate_outputs\vehicles\vehicle_V009.png,C:\Users\Admin\ducmanhjr\main\ducmanh-jrsystem_camera_ai main\runtime\viettraffic\jobs\d8dde8bd3b45\plate_outputs\plates_filtered\cropped_plate_track_874_frame_228.png,C:\Users\Admin\ducmanhjr\main\ducmanh-jrsystem_camera_ai main\runtime\viettraffic\jobs\d8dde8bd3b45\plate_outputs\reviews\review_V009.png,228,0.6126,1950.1,0.5269
V010,963,Truck,232,2026-06-17 14:51:06,C:\Users\Admin\ducmanhjr\main\ducmanh-jrsystem_camera_ai main\runtime\viettraffic\jobs\d8dde8bd3b45\plate_outputs\vehicles\vehicle_V010.png,C:\Users\Admin\ducmanhjr\main\ducmanh-jrsystem_camera_ai main\runtime\viettraffic\jobs\d8dde8bd3b45\plate_outputs\plates_filtered\cropped_plate_track_963_frame_232.png,C:\Users\Admin\ducmanhjr\main\ducmanh-jrsystem_camera_ai main\runtime\viettraffic\jobs\d8dde8bd3b45\plate_outputs\reviews\review_V010.png,232,0.8346,2039.3,0.5407
V011,1114,Car,262,2026-06-17 14:51:06,C:\Users\Admin\ducmanhjr\main\ducmanh-jrsystem_camera_ai main\runtime\viettraffic\jobs\d8dde8bd3b45\plate_outputs\vehicles\vehicle_V011.png,C:\Users\Admin\ducmanhjr\main\ducmanh-jrsystem_camera_ai main\runtime\viettraffic\jobs\d8dde8bd3b45\plate_outputs\plates_filtered\cropped_plate_track_1114_frame_262.png,C:\Users\Admin\ducmanhjr\main\ducmanh-jrsystem_camera_ai main\runtime\viettraffic\jobs\d8dde8bd3b45\plate_outputs\reviews\review_V011.png,262,0.7029,2919.1,0.6195
V012,1100,Car,300,2026-06-17 14:51:06,C:\Users\Admin\ducmanhjr\main\ducmanh-jrsystem_camera_ai main\runtime\viettraffic\jobs\d8dde8bd3b45\plate_outputs\vehicles\vehicle_V012.png,C:\Users\Admin\ducmanhjr\main\ducmanh-jrsystem_camera_ai main\runtime\viettraffic\jobs\d8dde8bd3b45\plate_outputs\plates_filtered\cropped_plate_track_1100_frame_300.png,C:\Users\Admin\ducmanhjr\main\ducmanh-jrsystem_camera_ai main\runtime\viettraffic\jobs\d8dde8bd3b45\plate_outputs\reviews\review_V012.png,300,0.7620,1905.5,0.5201
V013,1395,Car,354,2026-06-17 14:51:06,C:\Users\Admin\ducmanhjr\main\ducmanh-jrsystem_camera_ai main\runtime\viettraffic\jobs\d8dde8bd3b45\plate_outputs\vehicles\vehicle_V013.png,C:\Users\Admin\ducmanhjr\main\ducmanh-jrsystem_camera_ai main\runtime\viettraffic\jobs\d8dde8bd3b45\plate_outputs\plates_filtered\cropped_plate_track_1395_frame_354.png,C:\Users\Admin\ducmanhjr\main\ducmanh-jrsystem_camera_ai main\runtime\viettraffic\jobs\d8dde8bd3b45\plate_outputs\reviews\review_V013.png,354,0.8015,2626.9,0.5646
V014,1598,Car,410,2026-06-17 14:51:06,C:\Users\Admin\ducmanhjr\main\ducmanh-jrsystem_camera_ai main\runtime\viettraffic\jobs\d8dde8bd3b45\plate_outputs\vehicles\vehicle_V014.png,C:\Users\Admin\ducmanhjr\main\ducmanh-jrsystem_camera_ai main\runtime\viettraffic\jobs\d8dde8bd3b45\plate_outputs\plates_filtered\cropped_plate_track_1598_frame_410.png,C:\Users\Admin\ducmanhjr\main\ducmanh-jrsystem_camera_ai main\runtime\viettraffic\jobs\d8dde8bd3b45\plate_outputs\reviews\review_V014.png,410,0.7447,4214.5,0.5678
V015,1935,Car,424,2026-06-17 14:51:06,C:\Users\Admin\ducmanhjr\main\ducmanh-jrsystem_camera_ai main\runtime\viettraffic\jobs\d8dde8bd3b45\plate_outputs\vehicles\vehicle_V015.png,C:\Users\Admin\ducmanhjr\main\ducmanh-jrsystem_camera_ai main\runtime\viettraffic\jobs\d8dde8bd3b45\plate_outputs\plates_filtered\cropped_plate_track_1935_frame_424.png,C:\Users\Admin\ducmanhjr\main\ducmanh-jrsystem_camera_ai main\runtime\viettraffic\jobs\d8dde8bd3b45\plate_outputs\reviews\review_V015.png,424,0.7980,2953.7,0.5966
V016,2082,Car,460,2026-06-17 14:51:06,C:\Users\Admin\ducmanhjr\main\ducmanh-jrsystem_camera_ai main\runtime\viettraffic\jobs\d8dde8bd3b45\plate_outputs\vehicles\vehicle_V016.png,C:\Users\Admin\ducmanhjr\main\ducmanh-jrsystem_camera_ai main\runtime\viettraffic\jobs\d8dde8bd3b45\plate_outputs\plates_filtered\cropped_plate_track_2082_frame_460.png,C:\Users\Admin\ducmanhjr\main\ducmanh-jrsystem_camera_ai main\runtime\viettraffic\jobs\d8dde8bd3b45\plate_outputs\reviews\review_V016.png,460,0.8159,3516.5,0.5883
V017,2012,Car,470,2026-06-17 14:51:06,C:\Users\Admin\ducmanhjr\main\ducmanh-jrsystem_camera_ai main\runtime\viettraffic\jobs\d8dde8bd3b45\plate_outputs\vehicles\vehicle_V017.png,C:\Users\Admin\ducmanhjr\main\ducmanh-jrsystem_camera_ai main\runtime\viettraffic\jobs\d8dde8bd3b45\plate_outputs\plates_filtered\cropped_plate_track_2012_frame_470.png,C:\Users\Admin\ducmanhjr\main\ducmanh-jrsystem_camera_ai main\runtime\viettraffic\jobs\d8dde8bd3b45\plate_outputs\reviews\review_V017.png,470,0.8055,2862.3,0.5806
V018,2295,Truck,514,2026-06-17 14:51:06,C:\Users\Admin\ducmanhjr\main\ducmanh-jrsystem_camera_ai main\runtime\viettraffic\jobs\d8dde8bd3b45\plate_outputs\vehicles\vehicle_V018.png,C:\Users\Admin\ducmanhjr\main\ducmanh-jrsystem_camera_ai main\runtime\viettraffic\jobs\d8dde8bd3b45\plate_outputs\plates_filtered\cropped_plate_track_2295_frame_514.png,C:\Users\Admin\ducmanhjr\main\ducmanh-jrsystem_camera_ai main\runtime\viettraffic\jobs\d8dde8bd3b45\plate_outputs\reviews\review_V018.png,514,0.7920,4095.0,0.6246
